Tweet,Cleaned_Tweet
"['yo', 'tow', 'ki', 'vhitri_a', 'rip', 'kw', 'kan', 'sell', 'tee', 'la', 'drug', 'noah', 'ski', 'vhitri_a', 'kw', 'le', 'rene', 'pie', 'tee', 'hoo', 'vhitri_a']",yo tow ki vhitri_a rip kw kan sell tee la drug noah ski vhitri_a kw le rene pie tee hoo vhitri_a
"['rain', 'bitch', 'get', 'dick', 'least', '3', 'chick', 'york', 'hoe', 'easi', 'game', 'chang', 'babi', 'hah']",rain bitch get dick least 3 chick york hoe easi game chang babi hah
"['resurvey', '74', 'stripper', 'would', 'name', 'tripl', 'trick', 'girl', 'boy', 'name']",resurvey 74 stripper would name tripl trick girl boy name
"['alexei', 'feel', 'shittttttti', 'ca', 'even', 'get', 'bed', 'truli', 'feel', 'reli', 'sick', 'shitti']",alexei feel shittttttti ca even get bed truli feel reli sick shitti
"['müdürlüğümüzün', '2013', 'yolanda', 'havana', 'geçireceği', 'propel', 'üzerind', 'ki', 'çalışmalar', 'son', 'yaklaşıldı']",müdürlüğümüzün 2013 yolanda havana geçireceği propel üzerind ki çalışmalar son yaklaşıldı
"['go', 'continu', 'want']",go continu want
"['adampoulos1', 'tyrecespeaight_', 'even', 'parti']",adampoulos1 tyrecespeaight_ even parti
"['повторится', 'все', 'как', 'старь', 'обуховский', 'завод', 'pic', 'help', 't', 'co', '6ifutddp']",повторится все как старь обуховский завод pic help t co 6ifutddp
"['поехала', 'каток']",поехала каток
"['jook', 'amanda', 'eu', 'trevino']",jook amanda eu trevino
"['yessssssssss', 'help', 't', 'co', '1qerlagi']",yessssssssss help t co 1qerlagi
"['vege', 'élelmisz', 'budapest', 'help', 't', 'co', 'jjhatjt0']",vege élelmisz budapest help t co jjhatjt0
"['drink', 'mama', 'littl', 'yell', 'piss', 'oskarblu', 'thunderdom', 'help', 't', 'co', 'vew7n9xn']",drink mama littl yell piss oskarblu thunderdom help t co vew7n9xn
"['8', '00', 'pm', 'hurrah', 'vega', '80', 'holder', 'poker', 'tournament', '20', 'bounti', 'harrahsvega', 'help', 't', 'co', 'f1mxw5zt']",8 00 pm hurrah vega 80 holder poker tournament 20 bounti harrahsvega help t co f1mxw5zt
"['flakachichona', 'lololololololol', 'x']",flakachichona lololololololol x
"['feuskadi', 'hah', 'way']",feuskadi hah way
"['lalafernande', 'hauahsususuusu', 'eta', 'poo', 'brasilein', 'banana', 'ahsuauauahah']",lalafernande hauahsususuusu eta poo brasilein banana ahsuauauahah
"['fife', 'fatal', 'take', 'best', 'doubl', 'mean', 'iyewwww']",fife fatal take best doubl mean iyewwww
"['grade', 'top', 'notch']",grade top notch
"['major', 'le', 'dig', 'nara', 'si', 'lo', 'ago', 'boy', 'prefer', 'mama', 'e', 'signal', 'hard', 'case']",major le dig nara si lo ago boy prefer mama e signal hard case
"['fishworm', 'priceless', 'god', 'bless']",fishworm priceless god bless
"['yeah', 'fuck', 'saqouit', 'fan', 'ain', 't', 'scar']",yeah fuck saqouit fan ain t scar
['9'],9
"['abood_566', 'الله', 'يلعنك', 'انت', 'افلامك', 'عبيد', 'والله', 'قران', 'مافي', 'نوم']",abood_566 الله يلعنك انت افلامك عبيد والله قران مافي نوم
"['8', 'merit', 'magic', 'mari', 'menutup', 'co', 'yupppiii', 'pelota']",8 merit magic mari menutup co yupppiii pelota
"['victorcarbono_', 'fossa', 'quito', 'dual', 'garrafa', 'de', 'vodka', 'pure', 'agent', 'eve', 'que', 'pro', 'polit', 'outta', 'ja', 'lava', 'varia', 'hauhauahua']",victorcarbono_ fossa quito dual garrafa de vodka pure agent eve que pro polit outta ja lava varia hauhauahua
"['peaki', 'tie', 'sur', 'demand', 'ahmedelmanifico', 'stop', 'hah']",peaki tie sur demand ahmedelmanifico stop hah
"['fabianaax', 'ben', 'jim']",fabianaax ben jim
"['el', 'nero', 'commerci', 'de', 'xerox', 'e', 'una', 'masada', 'jajajaja']",el nero commerci de xerox e una masada jajajaja
"['geegrap', 'real', 'true', 'opposit', 'real', 'fake']",geegrap real true opposit real fake
"['bn', 'man', 'toga', 'agetreao', 'puff']",bn man toga agetreao puff
"['ddtugavato', 'kkkkkkkkkkkk', 'q', 'oo']",ddtugavato kkkkkkkkkkkk q oo
"['karoliyaameoub', 'catalina', 'se', 'lot', 'peac', 'en', 'tu', 'hombr', 'en', 'cualquier', 'moment', 'xd', 'parev', 'perfectooooo', 'ad', 'jajajaj']",karoliyaameoub catalina se lot peac en tu hombr en cualquier moment xd parev perfectooooo ad jajajaj
"['whistl', 'babi']",whistl babi
"['1999', 'job', 'dlp', '115', 'through', 'feed', 'hot', 'veneer', 'press', 'pleas', 'feel', 'free', 'make', 'offer', 'offer', 'consid', 'help', 't', 'co', 'fmfp7hdb']",1999 job dlp 115 through feed hot veneer press pleas feel free make offer offer consid help t co fmfp7hdb
"['robsdlp', 'vida', 'polo', 'la']",robsdlp vida polo la
"['memo', 'kkkkkk']",memo kkkkkk
"['descontrolado', 'sale', 'rolando', 'valdez', 'yaquisvsalgodonero']",descontrolado sale rolando valdez yaquisvsalgodonero
"['maalaak_q8_', 'ووين', 'ماطقها', 'عويا', '__']",maalaak_q8_ ووين ماطقها عويا __
"['mamet', 'hide', 'go']",mamet hide go
"['serious', 'feel', 'betray']",serious feel betray
"['coleman', 'christinafish', 'ye', 'ye']",coleman christinafish ye ye
"['bigjoe2323', 'plug', 'comput']",bigjoe2323 plug comput
"['straight', 'ignor']",straight ignor
"['para', 'cabala', 'tabla', 'super', 'lento', 'mi', 'compadr']",para cabala tabla super lento mi compadr
"['fuckupayyme', 'lawwdd', 'feel', 'like', 'somebodi', 'punch', 'cat', 'lmaoo', 'see', 'nasti']",fuckupayyme lawwdd feel like somebodi punch cat lmaoo see nasti
"['sammimazzella', 'text', 'katelindallegro', 'save', 'u', 'headach', 'jkjkjk', 'loveyak']",sammimazzella text katelindallegro save u headach jkjkjk loveyak
"['ambitious_r_u', 'good', 'wed']",ambitious_r_u good wed
"['orange_fanatic4', 'rd', 'buzz']",orange_fanatic4 rd buzz
"['warm', 'avoid', 'ga', 'demand', 'wander', 'avoid', 'verepesten']",warm avoid ga demand wander avoid verepesten
"['biebsjan0skian', 'oo', 'mockingli', 'say', 'globos', 'serbian']",biebsjan0skian oo mockingli say globos serbian
"['ronald_to_swol', 'lmfaooo', 'girl', 'store']",ronald_to_swol lmfaooo girl store
"['t_bouvier', 'quito', 'boy', 'flamenco']",t_bouvier quito boy flamenco
"['ear', 'hurt', 'much']",ear hurt much
"['ishim', 'gab', 'paula', 'confus', 'gab', 'paula', 'brenda', 'core', 'nevada']",ishim gab paula confus gab paula brenda core nevada
"['instagram', 'ing', 'law', 'plank']",instagram ing law plank
"['bayaniglesia', 'tamamdir', 'kankiii']",bayaniglesia tamamdir kankiii
"['send', 'even', 'günün', 'haber']",send even günün haber
"['какая', 'разница', 'что', 'твориться', 'меня', 'внутри', 'главное', 'выгляжу', 'отлично', 'остальное', 'имеет', 'значения']",какая разница что твориться меня внутри главное выгляжу отлично остальное имеет значения
"['ryan', 'love', 'ex']",ryan love ex
"['safe', 'say', 'tear', 'averag', 'year', 'one', 'night', 'le', 'musicgotmego', 'shame']",safe say tear averag year one night le musicgotmego shame
"['jink', 'know', 'pass']",jink know pass
"['haaf', 'say', 'au', 'ga', 'brmaksud', 'leninakan', 'dial', 'lucianatherecia', 'uh', 'kan', 'disingkirkan', 'gr', 'orang', 'retina', 'dhina_dhindil', 'anggitia_tia']",haaf say au ga brmaksud leninakan dial lucianatherecia uh kan disingkirkan gr orang retina dhina_dhindil anggitia_tia
"['なにこれ', 'n', 'ヽ', 'n', '丶', 'n', 'f', 'ヽ', 'ﾉ丁丁', 'l', 'n', '_', '_']",なにこれ n ヽ n 丶 n f ヽ ﾉ丁丁 l n _ _
"['imoeddah', 'miss', 'u', 'yank', 'smog', 'terlaksana', 'see', 'damien', 'help', 't', 'co', 'kyclbew5']",imoeddah miss u yank smog terlaksana see damien help t co kyclbew5
"['lord_sugar', 'stabil']",lord_sugar stabil
[],
"['paar', 'bladzijden', 'leven', 'dan', 'open', 'de', 'slaver', 'en', 'min', 'rogu', 'dicot', 'fall']",paar bladzijden leven dan open de slaver en min rogu dicot fall
"['mar', 'shape']",mar shape
"['damn', 'ex', 'cri', 'babi', 'wan', 'na', 'talk']",damn ex cri babi wan na talk
"['andymolitor4', 'devast']",andymolitor4 devast
"['oi_biagom', 'brigad', 'linda']",oi_biagom brigad linda
"['sweet', 'sheep', 'se', 'agora', 'nell', 'tuuuudo', 'kkkkkkk']",sweet sheep se agora nell tuuuudo kkkkkkk
"['forquilhinha', 'help', 't', 'co', 'vx8gjg4o']",forquilhinha help t co vx8gjg4o
"['lukemalvern', 'ahwwww', 'luke', 'profil', 'pictur', 'ador']",lukemalvern ahwwww luke profil pictur ador
"['despot', 'de', 'corner', 'con', 'chay_18dp', 'jmmacoco', 'jose_21ra', 'una', 'bueno', 'melinda', 'para', 'cover', 'feria', 'raja']",despot de corner con chay_18dp jmmacoco jose_21ra una bueno melinda para cover feria raja
"['pauladominguez', 'como', 'va', 'el', 'embargo', 'en', 'que', 'semang', 'est']",pauladominguez como va el embargo en que semang est
"['iphoneのケーブルかいにきたついでにカフェオレテイクアウトおおおお', 'カフェ', 'ベローチェ', '鶴見店', 'help', 't', 'co', 'ijvwc7qh']",iphoneのケーブルかいにきたついでにカフェオレテイクアウトおおおお カフェ ベローチェ 鶴見店 help t co ijvwc7qh
"['marcyd13', 'datdudebp4', 'adeangelo13', 'mandarin', 'buffet']",marcyd13 datdudebp4 adeangelo13 mandarin buffet
['ksmt_ktうちの方が絶対早かったなwww'],ksmt_ktうちの方が絶対早かったなwww
"['babi', 'complet', 'frozen', 'way', 'drive', 'shit', 'time', 'soon', 'help', 't', 'co', '5fb1vytx']",babi complet frozen way drive shit time soon help t co 5fb1vytx
"['raja', 'spode', 'apeldoorn', 'beetl', 'drug', 'pic', 'help', 't', 'co', 'a5dzjoij']",raja spode apeldoorn beetl drug pic help t co a5dzjoij
"['best', 'mond', 'de', 'mere']",best mond de mere
"['yaaasminem', 'waouuuuuu', 'super']",yaaasminem waouuuuuu super
"['sequela', 'camacho', 'e', 'casa', 'vet', 'major', 'sea', 'conquest', 'orgulho', 'guard', 'salado', 'comemoração', 'serum', 'bo', 'still', 'yamaha', '_luanabilro']",sequela camacho e casa vet major sea conquest orgulho guard salado comemoração serum bo still yamaha _luanabilro
"['marc_anthony_18', 'nallelyy_j', 'well', 'instead', 'scar', 'scar']",marc_anthony_18 nallelyy_j well instead scar scar
"['everyth', 'want', 'happen', 'happen', 'sh', 'hate', 'life', 'right']",everyth want happen happen sh hate life right
"['tu', 'el', 'que', 'levant', 'que', 'feria', 'para', 'est', 'amor', 'tuamormehacetantobien']",tu el que levant que feria para est amor tuamormehacetantobien
"['line', 'giovanni', 'per', 'la', 'jive', 'e', 'fatti', 'per', 'la', 'stella', 'del', 'sassuolo', 'help', 't', 'co', 'r3zbglb9', 'calciomercato', 'jive']",line giovanni per la jive e fatti per la stella del sassuolo help t co r3zbglb9 calciomercato jive
"['laetitia_max', 'ランファ']",laetitia_max ランファ
"['fuck', 'liam', 'payn', 'tweet', 'dark', 'get', '34', '9k', 'tweet', '24', 'k', 'favorit', 'wat']",fuck liam payn tweet dark get 34 9k tweet 24 k favorit wat
"['flip', 'phone', 'shanti']",flip phone shanti
"['funni', 'everi', 'situat', 'go', 'threw', 'aloud', 'tell', 'ur', 'best', 'friend', 'ca', 'toad', 'goingtoanyway']",funni everi situat go threw aloud tell ur best friend ca toad goingtoanyway
"['godli', 'person', 'religi', 'one', 'matter', 'mostli', 'logic', 'grow', 'pretend', 'say']",godli person religi one matter mostli logic grow pretend say
"['happi', 'birthday', 'handsom', 'guy', 'name', 'oscar_swagg_']",happi birthday handsom guy name oscar_swagg_
"['xxbrandon_dxx', '17lazarow17']",xxbrandon_dxx 17lazarow17
"['gent', 'en', 'menu', 'person', 'que', 'ay', 'que', 'tu', 'eye', 'el', 'exampl']",gent en menu person que ay que tu eye el exampl
"['ugh', 'heavyhitterz91', 'need', 'hurri', 'hell', 'get', 'outta', 'work']",ugh heavyhitterz91 need hurri hell get outta work
"['cancionesquesonperfecta', 'help', 't', 'co', 'fbacfumj', 'de', 'team', 'favorit', 'de', 'placebo', 'podium', 'major', 'est', 'team', 'la', 'petra', 'lo', 'dice']",cancionesquesonperfecta help t co fbacfumj de team favorit de placebo podium major est team la petra lo dice
"['que', 'man', 'lo', 'paisano', 'muyfuertetodo']",que man lo paisano muyfuertetodo
"['sheeratchettt', 'amen']",sheeratchettt amen
"['chinesejasmine', 'okay', 'good', 'pleas', 'come', 'talk', 'jocelin', 'ye', 'saturday', 'sunday', 'monday', 'amp', 'tuesday', 'x']",chinesejasmine okay good pleas come talk jocelin ye saturday sunday monday amp tuesday x
"['parcel2go_help', 'sadli', 'bose', 'dock', 'station', 'arriv', 'annoy', 'want', 'item', 'replac', 'asap', 'help', 't', 'co', 'oo8bbbcp']",parcel2go_help sadli bose dock station arriv annoy want item replac asap help t co oo8bbbcp
"['catfish', 'need', 'hood', 'pal', 'though', 'would', 'funni']",catfish need hood pal though would funni
"['final', 'bedtim', 'good', 'freak', 'niighhtt']",final bedtim good freak niighhtt
"['eddjgex', 'bum', 'mix', 'quickli', 'pitch', 'quick', 'immix']",eddjgex bum mix quickli pitch quick immix
"['awe', 'cute', 'text', 'everi', 'fucker', 'world', 'shock']",awe cute text everi fucker world shock
"['читаю', 'только', 'бэна', 'come']",читаю только бэна come
"['caseee_lynns12', 'madden', 'n']",caseee_lynns12 madden n
"['rerenvino', 'nama', 'u', 'nurs', 'lain', 'idih', '_', 'p']",rerenvino nama u nurs lain idih _ p
"['kristacipriani', 'sleep', 'weak', 'week']",kristacipriani sleep weak week
"['mint', 'sampan', 'bangka', 'habit', 'pa', 'yudhigugum', '۳', 'д', '۳', 'mint', 'lo', 'berapaaaa', 'novfiskabcd', 'digit', 'mat', '_', 'yudhigugum']",mint sampan bangka habit pa yudhigugum ۳ д ۳ mint lo berapaaaa novfiskabcd digit mat _ yudhigugum
"['eschar', 'el', 'reliqu', 'que', 'toga', 'el', 'bold', 'se', 'erica', 'la', 'pile']",eschar el reliqu que toga el bold se erica la pile
"['juliasalv', 'new', 'sou', 'memo', 'demo', 'te', 'dread']",juliasalv new sou memo demo te dread
"['algifary21', 'yang', 'saber', 'boy', 'smog', 'banner', 'ya', 'cut', 'strut', 'ya', 'mobil', 'go', 'jg', 'mash', 'kejebak', 'di', 'plot', 'dark', 'tergal', '15']",algifary21 yang saber boy smog banner ya cut strut ya mobil go jg mash kejebak di plot dark tergal 15
"['man', 'preocupado', 'com', 'saiva', 'trist']",man preocupado com saiva trist
"['wish', 'would', 'text']",wish would text
"['bimet', 'era', 'p', 'alar', 'chat', 'hannah', 'delta', 'boa', 'note', 'te', 'sleep', 'tight']",bimet era p alar chat hannah delta boa note te sleep tight
"['nooooooossa', 'garot', 'marab', 'de', 'lumber', 'dextro', 'mina', 'morelia']",nooooooossa garot marab de lumber dextro mina morelia
"['one', 'hous']",one hous
"['buy', 'al', 'father', 'orang', 'grape', 'vanilla', 'na', 'vanilla', 'twilight']",buy al father orang grape vanilla na vanilla twilight
['male'],male
"['set', 'alarm', 'first', 'time', 'week', 'morningstruggl']",set alarm first time week morningstruggl
"['empezaron', 'lot', 'taco']",empezaron lot taco
"['explorando', 'niev', 'incom', 'rosella', 'florentin', 'pizza', 'pic', 'help', 't', 'co', 'tmtetxyx']",explorando niev incom rosella florentin pizza pic help t co tmtetxyx
['luooooo'],luooooo
"['baltimor', 'go', 'crazi', 'celebr', 'begin']",baltimor go crazi celebr begin
"['get', 'day', 'amp', 'night', 'mix', 'like', 'newborn', 'sum']",get day amp night mix like newborn sum
"['bug', 'like', 'get', 'lot', 'nice', 'cloth', 'ah']",bug like get lot nice cloth ah
"['bit', 'happen']",bit happen
"['love', 'beyond', 'eyebrow']",love beyond eyebrow
"['tu', 'yo', 'luganda', 'box', 'piensalo']",tu yo luganda box piensalo
"['ya', 'instalado', 'mañana', 'al', 'vatican', '1909', 'bed', 'amp', 'breakfast', 'help', 't', 'co', 'a3euhfir']",ya instalado mañana al vatican 1909 bed amp breakfast help t co a3euhfir
"['skatherine16', 'okay', 'lt', '3']",skatherine16 okay lt 3
"['shannlzx', 'ahem']",shannlzx ahem
"['joelivarsson', 'bra', 'initi']",joelivarsson bra initi
"['xchiar5', 'giro', 'non', 'ci', 'calico', 'pig', 'nine', 'hamah', 'nagari', 'non', 'emmen', 'russo']",xchiar5 giro non ci calico pig nine hamah nagari non emmen russo
"['tenia', 'que', 'avatar', 'man', 'el']",tenia que avatar man el
"['gemiitaa1', 'jajajjajjajj', 'meeooo', 'coon', 'noelianva', 'jajjajajjaja', 'queartetien']",gemiitaa1 jajajjajjajj meeooo coon noelianva jajjajajjaja queartetien
"['pinchedandan', 'call', 'u', 'bitch', 'dummi']",pinchedandan call u bitch dummi
"['broph67749', 'last', 'know', 'hah']",broph67749 last know hah
"['fmsk26', 'うそー全然気づかなかった', '明日からもー頑張ろー']",fmsk26 うそー全然気づかなかった 明日からもー頑張ろー
"['bambambeast', 'neilchal', 'ard']",bambambeast neilchal ard
"['bout', 'divis', 'anna', 'diner', 'help', 't', 'co', 'pzefboen']",bout divis anna diner help t co pzefboen
"['dear', 'bms_nard', 'far', 'best', 'bit', 'bms_ontheair', 'kill']",dear bms_nard far best bit bms_ontheair kill
"['chachigonzal', 'good', 'afternoon', 'happi', 'birthdayyyyyyyyyi', 'turn', 'music', 'time', 'partyyyyi']",chachigonzal good afternoon happi birthdayyyyyyyyyi turn music time partyyyyi
"['exam', 'definit', 'na', 'get', 'togeth', 'friend', 'whatmakesthedaybett']",exam definit na get togeth friend whatmakesthedaybett
['ah'],ah
"['vovozinha', 'sun', 'linda', 'help', 't', 'co', 'rvwm594q']",vovozinha sun linda help t co rvwm594q
['oo'],oo
"['dens', 'fog', 'advisori', 'issu', 'januari', '23', '10', '27pm', 'cut', 'januari', '24', '9', '00am', 'cut', 'news', 'lake', 'charl', 'help', 't', 'co', '1rbqfvzr']",dens fog advisori issu januari 23 10 27pm cut januari 24 9 00am cut news lake charl help t co 1rbqfvzr
"['wolfwinningwolf', 'alottttttttt']",wolfwinningwolf alottttttttt
"['everyth', 'make', 'sens', 'legal', 'pad']",everyth make sens legal pad
"['ulloasalgado', 'muumuu', 'sentenc', 'pa', 'que', 'invit']",ulloasalgado muumuu sentenc pa que invit
"['stop', 'love', 'stop', 'show', 'inspir', 'echiprutt', 'wakakak']",stop love stop show inspir echiprutt wakakak
"['time', 'work']",time work
"['jon', 'la', 'li', 'midair', 'adam', 'date', 'pa', 'pe', 'papa', 'molompar', 'morn', 'hard', 'jurat', 'berat', 'ada', 'dahsyatnya', 'pasarmolompar', 'yamaha']",jon la li midair adam date pa pe papa molompar morn hard jurat berat ada dahsyatnya pasarmolompar yamaha
"['stevemugga', 'omggggg']",stevemugga omggggg
"['thxyuuu', 'jena', 'zevansca', 'oke', 'sig', 'past', 'ʃƪ', 'rind', 'zevansca', 'ya', 'gap', 'jena', 'drain', 'capet', 'take', 'yama']",thxyuuu jena zevansca oke sig past ʃƪ rind zevansca ya gap jena drain capet take yama
"['forthefame_', 'gay', 'take', 'pic', 'wit', 'y', 'all', 'finger', 'y', 'all', 'ass', 'amp', 'post', 'internet', 'beyond']",forthefame_ gay take pic wit y all finger y all ass amp post internet beyond
"['dancehal', 'artist', 'still', 'get', 'mad', 'ovum', 'busi', 'signal']",dancehal artist still get mad ovum busi signal
"['wan', 'na', 'get', 'bed', 'na', 'long', 'day']",wan na get bed na long day
"['dan_read', 'choos', 'drtammunit', 'safe', 'enough', 'man', 'dump', 'contact', 'distanc', 'steel', 'amp', 'impress', 'effect', 'soft', 'tissu']",dan_read choos drtammunit safe enough man dump contact distanc steel amp impress effect soft tissu
"['waystogetslap', 'fuck', 'night']",waystogetslap fuck night
"['rang', '999', 'tell', 'u', 'go', 'away', 'rude']",rang 999 tell u go away rude
"['wan', 'na', 'sleep', 'day', 'tomorrow']",wan na sleep day tomorrow
"['elijah_wayn', 'wed', 'silli', 'as']",elijah_wayn wed silli as
"['piqu', 'tanto', 'tempo', 'memento', 'carn', 'mood', 'que', 'echo', 'que', 'bravo', 'van', 'car']",piqu tanto tempo memento carn mood que echo que bravo van car
"['liftedjeep', 'lt', '3']",liftedjeep lt 3
"['volunt', 'torqu']",volunt torqu
"['swiftdrauhl', 'suit']",swiftdrauhl suit
['kyletheecr'],kyletheecr
"['lizzz_96', 'verbal', 'como', 'est']",lizzz_96 verbal como est
"['even', 'like', 'tri', 'hide', 'see', 'ur', 'name']",even like tri hide see ur name
"['есть', 'миллионы', 'шансов', 'что', 'скоро', 'будет', 'все', 'сбываться']",есть миллионы шансов что скоро будет все сбываться
"['come', 'andyyyyyy', 'aspen']",come andyyyyyy aspen
"['ciaraannbarri', 'ha', 'ya', 'meet', 'gay', 'fella']",ciaraannbarri ha ya meet gay fella
"['le', 'garçon', 'quit', 'font', 'de', 'la', 'guitar']",le garçon quit font de la guitar
"['never', 'miss', 'someth', 'til', 'our', 'go']",never miss someth til our go
"['paisley', 'well', 'two', 'friend', 'way', 'right', 'random', 'u', 'pick', 'dalla', 'lot', 'u', 'get', 'ta', 'drive', 'u']",paisley well two friend way right random u pick dalla lot u get ta drive u
"['fthylmz0', 'faith', 'beg']",fthylmz0 faith beg
"['love', 'ashleykirwanmb', 'well', 'david', 'footi']",love ashleykirwanmb well david footi
"['mina', 'resentida', 'hay', 'mile', 'chick', 'quierans', 'pleas', 'si', 'te', 'deacon', 'e', 'also', 'si', 'quieten', 'e', 'also', 'atinennnnn']",mina resentida hay mile chick quierans pleas si te deacon e also si quieten e also atinennnnn
"['cheguei', 'cede', 'folium']",cheguei cede folium
"['ago', 'sembuuh']",ago sembuuh
"['era', 'deu', 'caminhando', 'tempo', 'com', 'voic']",era deu caminhando tempo com voic
"['today', 'trip', '100', 'sure', 'fuck', 'ton', 'peopl', 'drive', 'johnston', 'saw', 'day', 'lt', 'lt', 'lt']",today trip 100 sure fuck ton peopl drive johnston saw day lt lt lt
"['yunq_thuqqin', 'oh']",yunq_thuqqin oh
"['hell', 'sen', 'bank', 'ask', 'lunch', 'devreleri', 'fend', 'yakmışsın', 'diyeydin', 'yank', 'la', 'bebel']",hell sen bank ask lunch devreleri fend yakmışsın diyeydin yank la bebel
"['tell', 'real', 'chase']",tell real chase
"['bisforbooyah', 'show', 'merci']",bisforbooyah show merci
"['yovinanaa', 'ngomongin', 'jerawat', 'lu', '_', 'aishhh', 'alin_adia', 'ngmngn', 'apian', 'sit', 'yovinanaa', 'emgnya', 'madam', 'ming', 'mike', 'p']",yovinanaa ngomongin jerawat lu _ aishhh alin_adia ngmngn apian sit yovinanaa emgnya madam ming mike p
"['inakicanovas55', 'the_neter_', 'due', 'ni', 'new', 'va', 'fort', 'si', 'golem', 'bazaar', 'deal', '60', 'bomber', 'el', 'que', 'toga']",inakicanovas55 the_neter_ due ni new va fort si golem bazaar deal 60 bomber el que toga
"['kreayshawn', 'per', 'voic', 'ever']",kreayshawn per voic ever
"['brittneyholley', 'dork']",brittneyholley dork
"['day', 'think', 'weird', 'wednesday', 'letdown']",day think weird wednesday letdown
"['let', 'go', 'flyer', 'cimon', 'babi']",let go flyer cimon babi
"['_camilati', 'e', 'vic', 'ca']",_camilati e vic ca
"['kahnman1500', 'even', 'cool', 'serious', 'hurt']",kahnman1500 even cool serious hurt
"['lexxii274', 'letter']",lexxii274 letter
"['3026編成いつのまに回送されてた', '神武寺駅', 'jimmuji', 'sta', 'kkt', 'help', 't', 'co', 'tq9dvfg6']",3026編成いつのまに回送されてた 神武寺駅 jimmuji sta kkt help t co tq9dvfg6
"['alinashma', 'tulip', 'la', 'nama', 'hah']",alinashma tulip la nama hah
"['cemilcahtcebeci', 'ozdvrsn', 'dire', '2', 'ilk', 'yard', 'bikini', 'yard']",cemilcahtcebeci ozdvrsn dire 2 ilk yard bikini yard
